CLASS,REGION-CENTROID-COL,REGION-CENTROID-ROW,REGION-PIXEL-COUNT,SHORT-LINE-DENSITY-5,SHORT-LINE-DENSITY-2,VEDGE-MEAN,VEDGE-SD,HEDGE-MEAN,HEDGE-SD,INTENSITY-MEAN,RAWRED-MEAN,RAWBLUE-MEAN,RAWGREEN-MEAN,EXRED-MEAN,EXBLUE-MEAN,EXGREEN-MEAN,VALUE-MEAN,SATURATION-MEAN,HUE-MEAN
GRASS,-0.087128713,0.742382271,0,0,0,-0.185183872,-0.114327049,-0.129031949,0.107418016,-0.190822715,-0.217630891,-0.335341394,-0.044260009,0.332688619,-0.967685603,2.04838702,-0.187891404,0.521261469,6.364044714
GRASS,-0.277227723,0.720221607,0,0,0,-0.111110243,-0.0776858,1.74E-07,-0.130823561,-0.173034153,-0.198347139,-0.315261056,-0.030428814,0.324951661,-0.939738,1.991935535,-0.177453038,0.345739187,6.413179251
GRASS,0.823762376,1.351800554,0,0,0,1.407408878,0.934130918,0.903224976,0.289851326,-0.205376998,-0.231404983,-0.333333345,-0.082987595,0.355899449,-0.894323165,1.85483868,-0.217119007,0.411623852,6.487742096
GRASS,-0.586138614,1.218836565,0,0,0,1.13E-06,0.288988042,-0.25806413,-0.052079624,-0.195674136,-0.214876073,-0.339357454,-0.058091329,0.402321117,-0.967685603,1.975806374,-0.198329863,0.493164867,6.307039999
GRASS,-0.19009901,0.709141274,0,0,0,-0.074072695,-0.097488054,-0.161289776,0.0086308,-0.132605629,-0.143250724,-0.289156646,0.016597469,0.402321117,-0.978165974,1.999999971,-0.141962431,0.264779503,6.288240528
GRASS,0.285148515,1.096952909,0,0,0,-0.148147124,-0.127865805,-0.129032007,-0.201676566,-0.208611278,-0.234159826,-0.355421695,-0.060857553,0.3636364,-0.995633206,2.080645125,-0.200417525,0.682020764,6.309904349
GRASS,-0.467326733,1.130193906,0,0,0,-0.222221153,0.171637541,0.516128782,0.351460989,-0.15362845,-0.159779658,-0.295180737,-0.030428814,0.464216658,-0.91877729,1.798387123,-0.177453038,0.1327936,6.282680263
GRASS,-0.744554455,1.396121884,0,0.11111111,0,0.222223353,-0.12786608,0.999999213,0.400311709,-0.139074189,-0.121212153,-0.269076327,-0.05532508,0.649903323,-0.845414862,1.435483895,-0.196242182,-0.246134597,6.159559315
GRASS,-0.60990099,1.229916898,0,0,0,0.629630777,0.900775605,0.387096485,0.184689557,-0.15686273,-0.176308593,-0.297188785,-0.022130042,0.355899449,-0.915283875,1.903225801,-0.171189978,0.184533349,6.427533434
GRASS,-0.823762376,1.185595568,0,0,0,0.555557081,0.790090678,0.580644901,0.341491502,-0.173842723,-0.209366437,-0.301204845,-0.04149376,0.239845262,-0.862882107,1.903225801,-0.185803723,0.253779747,6.667580505
GRASS,-0.704950495,1.307479224,0,0,0,1.00E-06,0.485298417,0.483870606,0.390865822,-0.207802686,-0.245179099,-0.333333345,-0.077455047,0.26305612,-0.883842826,1.927419325,-0.212943608,0.374512579,6.577600045
GRASS,-0.522772277,0.96398892,0,0.11111111,0,0.370371477,0.316885967,-0.032257944,0.004590749,-0.199717008,-0.231404983,-0.315261056,-0.088520043,0.301740852,-0.824454152,1.750000002,-0.221294331,0.128635646,6.666481908
GRASS,0.134653465,0.897506925,0,0,0,0.2592607,0.557833764,0.483870838,0.485728089,-0.227208411,-0.269972488,-0.355421695,-0.088520043,0.239845262,-0.915283875,2.02419364,-0.221294331,0.641931902,6.538874244
GRASS,-0.245544554,0.742382271,0,0,0,-0.259258274,-0.037021204,-0.225806128,-0.088506036,-0.191631285,-0.228650165,-0.331325315,-0.04149376,0.247582213,-0.943231447,2.080645125,-0.185803723,0.478002692,6.483967976
GRASS,0.982178218,1.28531856,0,0.11111111,0,0.259260367,1.169744526,0.516128666,0.792615606,-0.278148367,-0.330578552,-0.383534166,-0.163208866,0.216634453,-0.841921406,1.879032277,-0.277661782,0.869394095,6.709582188
GRASS,-0.499009901,1.052631579,0,0,0,0.074075162,0.157433297,0.129032181,0.196781801,-0.212654128,-0.245179099,-0.339357454,-0.085753819,0.30947776,-0.894323165,1.903225801,-0.219206669,0.436886505,6.517831816
GRASS,0.198019802,0.87534626,0,0,0,-0.444443659,-0.346824881,-0.225806128,-0.10342049,-0.240145531,-0.272727307,-0.375502032,-0.102351313,0.340425555,-0.964192157,2.032258076,-0.231732753,0.76691039,6.361461677
GRASS,-0.807920792,0.686980609,0,0,0,-0.481480586,-0.33548286,-0.354838251,-0.200050123,-0.162522742,-0.181818229,-0.303212875,-0.027662515,0.3636364,-0.922270768,1.911290309,-0.17536532,0.219699648,6.407441561
GRASS,0.982178218,0.59833795,0,0,0,-0.185183738,-0.21740591,-0.25806413,-0.236021829,-0.069537078,-0.112947698,-0.19477914,0.071922549,0.054158625,-0.75807862,1.85483868,-0.100208744,-0.090068835,7.040638792
GRASS,0.847524752,0.664819945,0,0.11111111,0,-0.259258474,-0.099329276,-0.387096427,-0.18264672,-0.106731322,-0.126721814,-0.271084357,0.063623777,0.294003901,-0.995633206,2.15322577,-0.106471804,0.271429095,6.372964034
GRASS,-0.324752475,0.897506925,0,0,0,0.074075095,-0.062056227,0.290322363,0.293172194,-0.202142696,-0.239669462,-0.339357454,-0.05532508,0.255319163,-0.939738,2.064516181,-0.196242182,0.545961476,6.485889317
GRASS,0.499009901,0.831024931,0,0,0,1.185186592,1.661308635,1.806449894,0.959612967,-0.211845558,-0.26721767,-0.329317303,-0.074688798,0.116054187,-0.845414862,1.991935535,-0.210855928,0.54886938,6.770917226
GRASS,-0.285148515,1.119113573,0,0.11111111,0,0.333334462,0.146596242,0.29032248,0.285179087,-0.15120274,-0.17355375,-0.293172725,-0.011065021,0.324951661,-0.91877729,1.943548414,-0.162839237,0.188249537,6.453434931
GRASS,0.324752475,1.274238227,0,0.11111111,0,0.666667991,0.212707747,0.709676908,0.860540539,-0.184354155,-0.217630891,-0.321285165,-0.04149376,0.270793057,-0.922270768,2.008064479,-0.185803723,0.382938908,6.491721582
GRASS,-0.03960396,1.362880886,0,0,0,0.666668191,0.225927359,0.483870606,0.277107848,-0.115625636,-0.151515203,-0.242971917,0.019363718,0.170212743,-0.810480357,1.85483868,-0.13987475,0.038539862,6.82517063
GRASS,-0.60990099,0.720221607,0,0,0,0.11111251,-0.335482915,-0.354838135,0.020575847,-0.140691329,-0.159779658,-0.271084357,-0.019363743,0.340425555,-0.848908315,1.766129018,-0.16910226,-0.076531258,6.568958023
GRASS,0.744554455,1.074792244,0,0,0,0.851853329,0.963360572,1.032257273,0.820517362,-0.184354155,-0.231404983,-0.317269104,-0.033195063,0.15473887,-0.901310058,2.080645125,-0.179540719,0.46820982,6.645415555
GRASS,0.625742574,1.418282548,0,0,0,0.666667991,0.40294371,1.74E-07,0.019590389,-0.271679807,-0.325068921,-0.369477933,-0.165975115,0.201160559,-0.796506555,1.790322615,-0.279749463,0.737684462,6.816957322
GRASS,-0.055445545,1.28531856,0,0,0,0.2592607,0.207132991,1.74E-07,0.042787669,-0.175459863,-0.212121255,-0.309236966,-0.033195063,0.232108353,-0.897816612,1.991935535,-0.179540719,0.338413903,6.582123851
GRASS,-0.720792079,1.429362881,0,0,0,0.777778901,0.71913147,3.806448146,0.336462364,-0.021831424,0.044077117,-0.180722893,0.058091304,0.920696373,-0.890829719,1.258064535,-0.110647147,-0.56267453,5.362423472
GRASS,-0.689108911,0.465373961,0,0,0,-0.259258167,-0.294721715,-0.096773947,-0.272695185,-0.225591271,-0.258953215,-0.315261056,-0.149377596,0.317214711,-0.712663763,1.475806436,-0.26722336,-0.027971649,6.974605732
GRASS,-0.15049505,0.897506925,0,0,0,-0.407406558,-0.050223599,-0.064516061,-0.052079678,-0.259551234,-0.30303034,-0.385542188,-0.12448133,0.270793057,-0.932751108,2.032258076,-0.248434216,0.849069438,6.482737393
GRASS,0.76039604,1.362880886,0,0.11111111,0.11111111,1.259260887,1.497655811,0.419354602,0.138242216,-0.260359804,-0.30303034,-0.373494002,-0.143845098,0.278529993,-0.866375563,1.870967769,-0.263047999,0.774411707,6.61868441
GRASS,0.332673267,0.975069252,0,0,0,0.185186338,-0.198245101,0.032258118,-0.016074555,-0.21427129,-0.256198372,-0.341365484,-0.077455047,0.232108353,-0.897816612,1.991935535,-0.212943608,0.445274447,6.577376054
GRASS,-0.926732673,0.731301939,0,0,0,0.185186338,-0.099329276,0.516128491,-0.125465064,-0.129371327,-0.15702484,-0.248996008,-0.013831245,0.255319163,-0.782532763,1.701612953,-0.164926898,-0.127914516,6.83579822
GRASS,-0.689108911,0.520775623,0,0,0,-0.296295315,-0.224864322,0.096774295,-0.060063496,-0.193248425,-0.223140528,-0.325301225,-0.060857553,0.30947776,-0.904803505,1.927419325,-0.200417525,0.346679947,6.496221143
GRASS,-0.586138614,0.96398892,0,0,0,0.296297515,0.312954162,-0.032257827,-0.033212633,-0.219122689,-0.25068876,-0.335341394,-0.107883861,0.324951661,-0.845414862,1.774193599,-0.235908151,0.349638772,6.605040253
GRASS,0.293069307,0.808864266,0,0,0,0.777779034,1.036549093,0.806450971,0.400312037,-0.217505548,-0.253443554,-0.347389592,-0.082987595,0.286266951,-0.915283875,1.975806374,-0.217119007,0.558778471,6.525195566
GRASS,0.435643564,1.229916898,0,0.11111111,0,0.111112176,0.216033503,0.67741879,0.49857314,-0.200525556,-0.231404983,-0.351405635,-0.04149376,0.30947776,-1.009607023,2.169354932,-0.185803723,0.704353068,6.352518272
GRASS,0.807920792,0.698060942,0,0,0,-0.5185176,-0.331821092,0.548386551,0.596122195,-0.190014145,-0.201101982,-0.325301225,-0.071922574,0.464216658,-0.91877729,1.798387123,-0.208768266,0.275580625,6.2484134
GRASS,-0.879207921,1.119113573,0,0.11111111,0,0.148149391,0.162198753,1.225805689,1.070478002,-0.144734179,-0.146005542,-0.269076327,-0.049792532,0.495164446,-0.820960718,1.540322573,-0.192066784,-0.173911902,6.364175094
GRASS,0.356435644,1.108033241,0,0,0,0.185186338,0.000761625,-0.161290125,-0.200050199,-0.244188382,-0.272727307,-0.381526132,-0.107883861,0.379110259,-0.978165974,2.02419364,-0.235908151,0.832748403,6.29921189
GRASS,0.427722772,0.997229917,0,0.11111111,0,-0.185184072,-0.114326877,0.225806418,0.194529551,-0.204568428,-0.239669462,-0.339357454,-0.063623777,0.278529993,-0.929257661,2.016129132,-0.202505187,0.484513464,6.466214275
GRASS,-0.261386139,0.986149584,0,0.22222222,0,0.074075295,0.031884669,0.580644727,0.25448886,-0.236911251,-0.26721767,-0.363453843,-0.113416334,0.355899449,-0.915283875,1.903225801,-0.240083494,0.584675021,6.412162222
GRASS,0.388118812,1.152354571,0,0,0,0.185186205,0.40562226,0.548386667,0.163814245,-0.213462698,-0.236914644,-0.357429743,-0.071922574,0.386847209,-0.985152867,2.032258076,-0.208768266,0.678691267,6.302454214
GRASS,-0.364356436,1.152354571,0,0,0,0.629631243,-0.122013577,0.096774179,0.016622431,-0.108348506,-0.107438061,-0.267068297,0.033195038,0.471953616,-0.967685603,1.903225801,-0.129436291,0.116277143,6.2219048
GRASS,-0.942574257,0.842105263,0,0.11111111,0,-0.259258167,-0.145904722,0.290322654,0.200520051,-0.206994138,-0.247933917,-0.311245014,-0.102351313,0.232108353,-0.772052415,1.701612953,-0.231732753,0.159453936,6.862462409
GRASS,-0.285148515,1.141274238,0,0,0,0.148149324,0.118127663,0.096774353,0.163814245,-0.119668508,-0.129476608,-0.271084357,0.022130017,0.39458416,-0.939738,1.91935489,-0.137787032,0.102185186,6.332174309
PATH,0.348514851,0.709141274,0,0,0,0.851852663,0.507328612,0.322580481,0.100558601,0.608045315,0.630853955,0.6024096,0.544951653,-0.162475806,0.47510928,-0.766128996,0.609603334,-0.265602907,0.179533172
PATH,-0.451485149,0.59833795,0,0,0,0.703704739,0.058721491,-0.258063781,-0.038687609,0.63553674,0.652892551,0.62449795,0.586445363,-0.239845241,0.471615802,-0.677419407,0.63256784,-0.317314022,0.11519955
PATH,0.625742574,0.742382271,0,0,0,-0.11110991,0.175146175,0.999999213,0.008631018,0.611279595,0.630853955,0.598393576,0.561549097,-0.193423622,0.440174753,-0.65322581,0.605428011,-0.3182775,0.127497675
PATH,0.110891089,0.698060942,0,0.11111111,0,0.629630443,1.355945241,0.483871535,0.163813699,0.574085308,0.606060565,0.534136503,0.547717802,-0.046421619,0.26550218,-0.403225768,0.538622119,-0.45388946,0.113242081
