cnt,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed
40,2,1,6,5,0,4,1,2,0.6,0.6212,0.56,0.2537
362,3,1,6,19,0,5,1,2,0.76,0.697,0.55,0.5224
448,2,1,5,19,0,1,1,1,0.66,0.6212,0.69,0.0896
79,4,1,10,3,0,0,0,2,0.5,0.4848,0.63,0.3284
12,3,1,9,1,0,3,1,2,0.54,0.5152,0.68,0.2537
46,2,0,4,10,0,3,1,2,0.4,0.4091,0.87,0.194
189,4,0,12,15,0,5,1,1,0.38,0.3939,0.46,0.2836
281,2,1,4,12,0,1,1,1,0.44,0.4394,0.44,0.4478
2,2,0,4,2,0,1,1,1,0.38,0.3939,0.66,0.2537
23,3,1,8,6,0,6,0,2,0.62,0.5606,0.88,0.1045
83,1,0,1,16,0,6,0,1,0.12,0.1364,0.28,0.194
100,4,1,12,1,0,6,0,2,0.36,0.3485,0.93,0.1343
148,1,1,2,20,0,6,0,1,0.44,0.4394,0.44,0.1642
81,2,0,4,9,0,0,0,2,0.38,0.3939,0.94,0.1343
421,1,1,1,18,0,4,1,1,0.44,0.4394,0.67,0.194
190,1,0,3,13,0,6,0,2,0.46,0.4545,0.67,0.2836
210,4,1,11,12,0,1,1,1,0.42,0.4242,0.35,0.1045
98,2,0,3,13,0,3,1,2,0.36,0.3485,0.46,0.2239
354,3,1,7,20,0,5,1,1,0.78,0.7424,0.59,0.1045
4,3,0,8,3,0,1,1,1,0.7,0.6667,0.79,0.1642
7,1,1,12,6,1,2,0,2,0.22,0.2273,0.93,0.1343
63,3,0,6,0,0,5,1,1,0.68,0.6364,0.79,0.194
155,4,0,10,14,0,4,1,2,0.48,0.4697,0.48,0.5522
249,3,0,9,10,0,6,0,2,0.5,0.4848,0.68,0.2836
406,3,1,8,16,0,4,1,1,0.82,0.7576,0.46,0.194
484,2,1,4,18,0,5,1,1,0.5,0.4848,0.22,0.4627
98,1,0,2,19,0,1,1,1,0.38,0.3939,0.43,0.4925
18,4,0,10,1,0,6,0,3,0.3,0.2727,0.87,0.2985
388,3,0,9,15,0,6,0,1,0.72,0.6818,0.7,0.1642
280,3,0,9,20,0,4,1,1,0.66,0.6212,0.61,0.2239
150,4,0,11,15,0,1,1,1,0.58,0.5455,0.6,0.1642
1,1,0,1,5,0,6,0,1,0.16,0.2273,0.59,0
183,3,0,8,20,0,0,0,1,0.72,0.7121,0.84,0.1343
76,1,0,2,22,0,4,1,1,0.5,0.4848,0.59,0.2836
270,4,1,10,14,0,3,1,2,0.56,0.5303,0.43,0.1642
13,2,0,6,4,0,6,0,1,0.68,0.6364,0.79,0.0896
311,2,1,5,9,0,4,1,1,0.66,0.6212,0.47,0.2537
187,2,1,3,10,0,5,1,2,0.36,0.3636,0.57,0.1045
535,2,1,3,16,0,6,0,2,0.5,0.4848,0.63,0.2985
176,2,0,4,7,0,1,1,2,0.5,0.4848,0.88,0.2239
275,2,1,5,15,0,3,1,1,0.72,0.6667,0.51,0.1343
22,1,0,3,23,0,1,1,1,0.28,0.3182,0.48,0
224,2,1,4,14,0,2,1,1,0.54,0.5152,0.24,0.194
139,2,1,4,10,0,4,1,2,0.46,0.4545,0.94,0.1642
2,1,0,2,3,0,3,1,1,0.06,0.0758,0.45,0.1343
138,2,0,5,14,0,3,1,2,0.58,0.5455,0.78,0.2836
313,2,0,5,7,0,3,1,1,0.62,0.5909,0.73,0.1343
221,2,1,3,21,0,2,1,1,0.36,0.3485,0.37,0.1642
58,1,0,2,14,0,3,1,1,0.2,0.1818,0.34,0.2985
183,4,1,10,22,0,1,1,1,0.46,0.4545,0.82,0.1343
9,4,0,10,3,0,0,0,3,0.34,0.3182,0.87,0.2836
266,3,1,9,12,0,3,1,1,0.78,0.7727,0.7,0.1045
306,4,1,10,15,0,0,0,3,0.42,0.4242,0.77,0.1343
82,4,0,11,9,0,3,1,3,0.46,0.4545,0.94,0
224,1,1,1,13,0,0,0,1,0.2,0.1818,0.34,0.2836
419,3,0,9,13,0,0,0,2,0.78,0.7424,0.62,0.2836
184,1,0,1,17,0,1,1,1,0.14,0.1212,0.5,0.2537
640,2,1,4,12,0,6,0,1,0.64,0.6212,0.57,0.2239
51,1,1,1,2,0,0,0,1,0.28,0.2576,0.26,0.3284
41,1,0,1,20,0,6,0,2,0.32,0.303,0.39,0.2537
10,3,1,6,4,0,2,1,1,0.54,0.5152,0.45,0.2985
31,2,0,6,5,0,1,1,1,0.56,0.5303,0.88,0.0896
39,2,0,4,23,0,2,1,2,0.4,0.4091,0.94,0.2537
157,2,0,4,14,0,4,1,1,0.56,0.5303,0.43,0.0896
280,1,0,12,18,0,3,1,2,0.44,0.4394,1,0.2985
8,2,1,5,4,0,4,1,1,0.62,0.6061,0.69,0
167,1,0,3,12,0,6,0,2,0.44,0.4394,0.67,0.2537
6,3,0,7,3,0,4,1,2,0.74,0.7121,0.79,0.1343
147,4,1,10,6,0,1,1,2,0.56,0.5303,0.73,0.2985
167,1,1,2,16,0,3,1,3,0.4,0.4091,0.82,0.2239
18,2,1,6,4,0,0,0,1,0.54,0.5152,0.64,0.0896
188,3,1,7,0,0,0,0,1,0.66,0.5909,0.89,0.1343
47,2,0,6,0,0,4,1,1,0.6,0.6212,0.56,0.1045
138,4,0,12,14,0,2,1,2,0.44,0.4394,0.58,0.1045
5,3,0,8,4,0,2,1,1,0.54,0.5152,0.56,0.1642
1,1,0,1,4,0,0,0,1,0.26,0.2576,0.56,0.1642
156,3,0,7,13,0,5,1,1,0.94,0.8333,0.31,0
325,4,0,11,13,0,6,0,1,0.48,0.4697,0.44,0
13,3,0,7,2,0,2,1,1,0.72,0.6818,0.7,0.1642
476,3,1,8,19,0,2,1,3,0.62,0.5909,0.73,0.1045
77,1,0,2,22,0,2,1,1,0.16,0.1515,0.43,0.2537
558,2,1,4,19,0,2,1,1,0.56,0.5303,0.26,0.1045
51,2,1,6,1,0,5,1,1,0.58,0.5455,0.78,0.194
268,1,0,3,17,0,3,1,1,0.5,0.4848,0.23,0.2836
180,2,1,5,23,0,5,1,1,0.54,0.5152,0.37,0.194
299,4,0,12,15,0,6,0,1,0.34,0.303,0.34,0.3582
27,1,0,1,22,0,4,1,1,0.18,0.2121,0.74,0.0896
71,3,0,7,7,0,6,0,1,0.66,0.6061,0.78,0.194
360,4,1,11,16,0,1,1,1,0.36,0.3333,0.43,0.2836
128,4,0,11,11,0,1,1,2,0.52,0.5,0.83,0.1045
221,3,0,6,9,0,3,1,1,0.72,0.6515,0.45,0.3881
179,2,1,4,9,0,0,0,1,0.44,0.4394,0.26,0.2239
791,3,1,6,18,0,1,1,1,0.76,0.6667,0.27,0.4478
6,3,0,7,4,0,4,1,1,0.62,0.6212,0.53,0.2537
202,2,0,4,12,0,6,0,2,0.36,0.3485,0.81,0.1343
11,1,0,3,16,0,0,0,3,0.36,0.3333,1,0.2836
24,2,0,6,0,0,5,1,1,0.56,0.5303,0.88,0.0896
596,2,1,4,8,0,1,1,1,0.4,0.4091,0.43,0.194
270,1,1,2,11,0,6,0,1,0.3,0.3333,0.7,0
144,2,1,4,6,0,2,1,1,0.6,0.6212,0.46,0.2537
156,4,1,12,10,0,2,1,1,0.46,0.4545,0.82,0.194
268,3,1,7,10,0,6,0,3,0.58,0.5455,0.88,0.2537
228,3,0,8,9,0,4,1,1,0.72,0.6818,0.66,0.2537
146,4,1,11,8,0,6,0,1,0.32,0.3485,0.76,0
219,4,0,10,9,0,3,1,1,0.54,0.5152,0.6,0.2985
273,3,1,7,13,0,2,1,2,0.84,0.803,0.53,0.2985
5,1,1,2,6,0,6,0,1,0.22,0.2273,0.87,0.1343
516,4,1,10,19,0,3,1,1,0.5,0.4848,0.72,0.194
389,1,1,3,18,0,0,0,1,0.52,0.5,0.29,0.2836
6,2,1,4,5,0,0,0,1,0.34,0.3636,0.87,0
126,4,1,12,22,0,1,1,2,0.5,0.4848,0.82,0.2239
17,1,1,1,7,0,0,0,1,0.12,0.1212,0.54,0.2836
107,2,1,4,8,0,0,0,1,0.38,0.3939,0.76,0.1343
104,1,0,2,7,0,4,1,1,0.2,0.197,0.72,0.194
42,3,1,7,5,0,5,1,2,0.66,0.5909,0.89,0.1343
470,3,1,9,16,0,5,1,1,0.8,0.7576,0.55,0.2836
26,2,1,4,3,0,0,0,1,0.42,0.4242,0.26,0.1343
19,3,1,7,5,1,3,0,1,0.66,0.6212,0.69,0
88,1,0,2,19,0,3,1,3,0.14,0.1212,0.86,0.2537
724,4,1,12,8,0,2,1,2,0.34,0.303,0.61,0.2985
118,1,1,1,16,0,6,0,2,0.2,0.1818,0.8,0.2985
24,3,0,7,1,0,5,1,1,0.8,0.7879,0.63,0
79,4,0,10,22,0,1,1,1,0.48,0.4697,0.75,0.1642
245,3,1,8,11,0,1,1,1,0.76,0.6818,0.4,0.0896
610,3,1,8,19,0,4,1,1,0.76,0.6818,0.48,0.1343
52,1,0,2,7,0,2,1,3,0.16,0.2273,0.93,0
233,1,1,2,19,0,5,1,2,0.44,0.4394,0.88,0.1045
479,4,0,10,17,0,4,1,3,0.62,0.5758,0.83,0.2537
111,3,0,8,6,0,3,1,1,0.54,0.5152,0.77,0
508,2,0,4,17,0,5,1,2,0.52,0.5,0.45,0.3881
373,4,1,10,9,0,3,1,2,0.52,0.5,0.77,0.0896
153,3,0,7,12,0,2,1,1,0.84,0.8182,0.56,0.0896
330,2,1,4,9,0,5,1,1,0.42,0.4242,0.41,0.1642
152,3,1,7,6,0,4,1,1,0.72,0.6818,0.66,0.1343
174,4,0,11,9,0,1,1,2,0.34,0.3333,1,0.1343
374,4,0,10,11,0,6,0,1,0.56,0.5303,0.4,0.3881
61,1,1,12,22,0,1,1,1,0.26,0.2727,0.56,0.1343
212,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239
142,3,0,7,8,0,0,0,1,0.76,0.697,0.55,0.2239
164,2,0,3,19,0,2,1,2,0.44,0.4394,0.54,0.2537
166,4,0,10,21,0,5,1,1,0.5,0.4848,0.68,0
98,4,1,9,23,0,2,1,1,0.6,0.6212,0.56,0.3284
375,3,0,7,19,0,3,1,1,0.8,0.697,0.29,0.0896
228,4,1,10,10,0,3,1,2,0.46,0.4545,0.67,0
30,4,0,10,0,0,2,1,1,0.44,0.4394,0.77,0.1343
22,3,0,6,5,0,1,1,2,0.62,0.5758,0.83,0.1642
380,3,1,7,7,0,5,1,2,0.7,0.6515,0.54,0
97,1,1,1,10,0,5,1,2,0.22,0.2121,0.44,0.2836
191,1,1,2,10,0,0,0,2,0.26,0.2424,0.52,0.2537
375,4,1,10,13,0,5,1,1,0.62,0.5909,0.73,0.2239
251,2,0,6,10,0,0,0,2,0.62,0.5909,0.73,0.0896
385,3,1,8,10,0,0,0,1,0.74,0.697,0.66,0.3881
19,4,1,10,5,0,2,1,2,0.38,0.3939,0.82,0.194
439,2,1,5,19,0,6,0,2,0.64,0.6212,0.36,0.1642
205,3,1,9,10,0,3,1,1,0.62,0.6061,0.61,0.1343
400,4,1,12,16,0,0,0,2,0.38,0.3939,0.82,0.1045
188,2,0,6,15,0,4,1,1,0.8,0.6818,0.21,0.3881
406,4,1,11,19,0,1,1,2,0.4,0.4091,0.58,0.2836
691,3,1,7,8,0,5,1,2,0.68,0.6364,0.83,0.1642
29,3,1,7,1,0,5,1,1,0.78,0.7273,0.55,0.2239
140,2,1,6,8,0,0,0,1,0.54,0.5152,0.6,0.0896
